,Unnamed: 0,region_1,date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,s_d_score
249,17149,Manitoba,2020-04-02,18.390804597701145,33.65384615384615,1.9455252918287929,5.952380952380952,33.70786516853933,74.28571428571429,20.395327053375407
250,17150,Manitoba,2020-04-03,22.988505747126435,37.49999999999999,0.0,9.523809523809524,31.460674157303366,77.14285714285714,22.510204325722512
251,17151,Manitoba,2020-04-04,24.137931034482754,38.46153846153847,3.112840466926071,19.047619047619047,50.56179775280898,51.42857142857144,30.565705833005907
252,17152,Manitoba,2020-04-05,24.137931034482754,32.692307692307686,11.673151750972764,14.285714285714285,47.19101123595505,40.0,29.42682218639787
253,17153,Manitoba,2020-04-06,36.78160919540229,44.230769230769226,17.12062256809339,14.285714285714285,38.20224719101123,62.857142857142854,36.64462999663837
254,17154,Manitoba,2020-04-07,35.632183908045974,51.92307692307693,19.066147859922182,16.666666666666664,37.078651685393254,65.71428571428571,40.27345184225282
255,17155,Manitoba,2020-04-08,36.78160919540229,49.03846153846154,9.338521400778212,13.095238095238097,37.078651685393254,65.71428571428571,35.434348073135254
256,17156,Manitoba,2020-04-09,55.172413793103445,80.76923076923077,13.2295719844358,16.666666666666664,37.078651685393254,60.0,54.257115109258336
257,17157,Manitoba,2020-04-10,0.0,0.0,20.62256809338522,0.0,0.0,100.0,0.0
258,17158,Manitoba,2020-04-11,37.93103448275861,60.57692307692308,7.00389105058366,21.428571428571427,49.43820224719101,48.57142857142856,44.0220619741138
259,17159,Manitoba,2020-04-12,1.1494252873563242,0.0,9.727626459143972,9.523809523809524,39.32584269662921,42.857142857142854,7.724989376092253
260,17160,Manitoba,2020-04-13,35.632183908045974,45.1923076923077,8.560311284046694,5.952380952380952,28.089887640449433,71.42857142857143,29.86646736428013
261,17161,Manitoba,2020-04-14,36.78160919540229,50.96153846153847,13.618677042801561,15.476190476190476,38.20224719101123,65.71428571428571,38.363117614856776
262,17162,Manitoba,2020-04-15,42.5287356321839,50.96153846153847,15.953307392996111,16.666666666666664,38.20224719101123,62.857142857142854,40.71955899686434
263,17163,Manitoba,2020-04-16,41.37931034482758,54.807692307692314,17.50972762645915,15.476190476190476,39.32584269662921,65.71428571428571,42.521223970832686
264,17164,Manitoba,2020-04-17,41.37931034482758,50.96153846153847,22.56809338521401,17.857142857142858,38.20224719101123,65.71428571428571,42.90540857898426
265,17165,Manitoba,2020-04-18,31.034482758620683,42.30769230769231,7.00389105058366,20.238095238095237,55.05617977528089,45.714285714285715,36.28543455907931
266,17166,Manitoba,2020-04-19,29.885057471264364,34.61538461538461,15.953307392996111,14.285714285714285,51.685393258426956,37.142857142857146,34.014879781535335
267,17167,Manitoba,2020-04-20,37.93103448275861,45.1923076923077,12.840466926070041,14.285714285714285,40.44943820224719,60.0,36.38399363303312
268,17168,Manitoba,2020-04-21,37.93103448275861,49.03846153846154,19.066147859922182,15.476190476190476,39.32584269662921,62.857142857142854,39.96205439843277
